Iteration	Posterior	Likelihood	Prior	birth_rate	clock_rate	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	root_time	sf[1]	sf[2]	sf[3]	sf[4]	tmrca_Ursidae	turnover
0	-2015.29	-1980.25	-35.0434	0.1590808	0.0001285516	0.07042553	0.5572971	0.08865528	0.0318042	0.351289	0.138207	0.0363431	0.434369	0.00798781	58.14796	0.205414	0.305499	0.301503	0.187584	58.14796	0.4427029
10	-2009.63	-1983.42	-26.2054	0.4487491	0.00025231	0.208329	0.5357562	0.2404201	0.011657	0.417674	0.173571	0.0290737	0.347377	0.0206464	48.96002	0.197618	0.30354	0.315599	0.183242	48.96002	0.4642438
20	-2013.78	-1983.99	-29.7887	0.3873977	0.0001866757	0.2845568	0.265466	0.1028409	0.0178374	0.413226	0.131103	0.020973	0.410507	0.00635246	49.47714	0.172726	0.311467	0.313937	0.20187	49.47714	0.734534
30	-2015.67	-1987.61	-28.0544	0.3195541	0.0002208265	0.1826187	0.4285202	0.1369354	0.0891192	0.478851	0.0795256	0.0438897	0.305468	0.00314638	48.88202	0.159943	0.359096	0.299755	0.181205	48.88202	0.5714798
40	-2012.4	-1984.19	-28.2172	0.3432779	0.0001983776	0.1057194	0.6920296	0.2375584	0.140078	0.209622	0.0839597	0.0862043	0.453867	0.0262685	46.13377	0.184341	0.338852	0.304473	0.172334	46.13377	0.3079704
50	-2008.22	-1980.91	-27.3122	1.281406	0.0002575984	1.02777	0.1979354	0.2536356	0.0114685	0.398787	0.0583661	0.0383359	0.488223	0.00481994	47.53206	0.184664	0.334067	0.319252	0.162017	47.53206	0.8020646
60	-2010.46	-1977.86	-32.5958	0.157705	0.0001436955	0.04777881	0.6970368	0.1099262	0.0102249	0.37557	0.10585	0.0478921	0.459799	0.000663459	53.18377	0.190317	0.317066	0.330083	0.162534	53.18377	0.3029632
70	-2007.39	-1979.05	-28.3416	0.3116641	0.0001441769	0.1900986	0.3900528	0.1215654	0.02961	0.294913	0.174218	0.0565654	0.442452	0.00224153	47.4383	0.180322	0.343622	0.296322	0.179734	47.4383	0.6099472
80	-2010.76	-1979.88	-30.8772	0.183789	0.0001362293	0.09935698	0.4593964	0.08443201	0.0397514	0.354191	0.0964143	0.0675173	0.436557	0.00556972	51.88827	0.187714	0.33021	0.316925	0.165151	51.88827	0.5406036
90	-2010.55	-1982.08	-28.4641	0.5174846	0.000134638	0.4022153	0.2227493	0.1152693	0.0487229	0.330452	0.203417	0.0407272	0.369854	0.00682674	46.69141	0.188177	0.315504	0.325196	0.171123	46.69141	0.7772507
100	-2010.7	-1981.25	-29.4527	0.3556418	0.0001283617	0.2198887	0.3817128	0.135753	0.0494004	0.426088	0.0852676	0.0466484	0.371296	0.0212994	49.81933	0.174592	0.360339	0.30407	0.160998	49.81933	0.6182872
110	-2015	-1983.03	-31.9653	0.08814832	0.0001888423	0.03031804	0.6560566	0.05783028	0.0246945	0.434821	0.105117	0.0337501	0.378906	0.0227112	45.19258	0.179793	0.34904	0.315358	0.15581	45.19258	0.3439434
120	-2011.12	-1980.72	-30.3957	0.6242546	0.0001222305	0.4433375	0.2898129	0.1809171	0.0372721	0.398662	0.152592	0.0373057	0.339757	0.0344108	54.54193	0.178071	0.333295	0.309817	0.178818	54.54193	0.7101871
130	-2011.63	-1980.14	-31.4882	0.2010112	0.0001154415	0.04132837	0.7943977	0.1596828	0.0103041	0.32962	0.109087	0.0458264	0.483037	0.0221264	52.1903	0.189272	0.316776	0.319079	0.174874	52.1903	0.2056023
140	-2008.47	-1978.91	-29.5589	1.080861	0.0001717795	0.809772	0.2508082	0.2710888	0.0129685	0.414853	0.137295	0.0315157	0.37552	0.0278478	49.00373	0.177475	0.319479	0.307015	0.196031	49.00373	0.7491918
150	-2007.3	-1981.11	-26.191	0.7218927	0.0002235467	0.4030001	0.4417452	0.3188926	0.00175265	0.220397	0.265114	0.0628185	0.443746	0.00617115	47.1027	0.184312	0.316779	0.319906	0.179004	47.1027	0.5582548
160	-2009.63	-1980.63	-28.9934	0.3319891	0.000168482	0.1764147	0.4686131	0.1555745	0.00656902	0.530028	0.161638	0.0417732	0.255872	0.00412005	50.49657	0.185091	0.337398	0.321737	0.155774	50.49657	0.5313869
170	-2009.34	-1978.16	-31.1841	0.8426533	0.0001931432	0.6557959	0.2217488	0.1868573	0.00151778	0.32748	0.159232	0.0229495	0.472754	0.0160661	50.99001	0.203775	0.315749	0.304657	0.175819	50.99001	0.7782512
180	-2010.42	-1980.7	-29.716	0.5870661	0.0001753961	0.3687961	0.371798	0.21827	0.0031871	0.389433	0.153249	0.0419618	0.396797	0.015372	44.70258	0.174172	0.333907	0.308975	0.182945	44.70258	0.628202
190	-2010.83	-1982.52	-28.3038	0.2100594	0.0002059863	0.07751638	0.6309787	0.132543	0.0153928	0.206504	0.13482	0.0625787	0.528056	0.0526488	48.25233	0.200394	0.314993	0.297254	0.187359	48.25233	0.3690213
200	-2011.26	-1980.94	-30.3219	0.3145388	0.0001548372	0.2269181	0.2785687	0.08762066	0.00380226	0.343249	0.181041	0.093647	0.346364	0.031897	49.09507	0.195577	0.322116	0.308509	0.173799	49.09507	0.7214313
210	-2005.93	-1980.16	-25.775	0.7008064	0.0002920633	0.5299856	0.2437488	0.1708207	0.0199219	0.369164	0.0783584	0.0481723	0.478739	0.00564465	47.36869	0.188387	0.322704	0.317791	0.171117	47.36869	0.7562512
220	-2007.47	-1979.79	-27.6772	0.5966851	0.0002222953	0.2429746	0.5927926	0.3537105	0.0257458	0.269313	0.160452	0.0351604	0.496923	0.0124058	46.63768	0.192332	0.330706	0.308457	0.168505	46.63768	0.4072074
230	-2015.67	-1986.16	-29.5092	0.3286795	0.0001958106	0.1074244	0.6731636	0.2212551	0.0416978	0.246449	0.158933	0.0423724	0.458525	0.0520221	45.58982	0.185951	0.365704	0.287605	0.160739	45.58982	0.3268364
240	-2013.43	-1983.09	-30.3453	0.2712886	0.0001077997	0.1894013	0.3018457	0.08188731	0.0349839	0.350579	0.0831037	0.0786657	0.384697	0.0679713	47.40819	0.191328	0.322195	0.309218	0.177259	47.40819	0.6981543
250	-2005.97	-1979.15	-26.8192	0.3156108	0.0001869389	0.1153642	0.6344731	0.2002466	0.0227252	0.261805	0.0994177	0.0366468	0.565623	0.0137827	46.22115	0.188943	0.338076	0.310098	0.162883	46.22115	0.3655269
260	-2009.83	-1978.65	-31.1831	0.283752	0.000161348	0.2069562	0.2706441	0.07679581	0.0050255	0.429371	0.181892	0.0299889	0.347667	0.00605476	54.04382	0.203995	0.306056	0.304327	0.185621	54.04382	0.7293559
270	-2012.45	-1980.01	-32.4397	1.1935	0.0001416997	0.9881955	0.1720189	0.2053046	0.0283708	0.401323	0.177123	0.0439977	0.339608	0.0095777	46.6617	0.172085	0.338856	0.326923	0.162137	46.6617	0.8279811
280	-2015.13	-1985.37	-29.7519	0.2733827	0.0001924024	0.01523585	0.9442691	0.2581468	0.0414636	0.246717	0.0487409	0.0741992	0.572727	0.0161522	50.95589	0.216373	0.315969	0.310489	0.157169	50.95589	0.05573085
290	-2008.86	-1979.04	-29.8218	0.282669	0.0001667683	0.1643006	0.4187528	0.1183684	0.0264547	0.267494	0.120392	0.0865126	0.484512	0.0146343	49.71286	0.184955	0.337402	0.307647	0.169996	49.71286	0.5812472
300	-2010.24	-1979.81	-30.4331	0.332144	0.0001648221	0.1649845	0.5032742	0.1671595	0.013245	0.398426	0.11567	0.10744	0.351279	0.0139398	45.92549	0.184409	0.315699	0.326666	0.173226	45.92549	0.4967258
310	-2008.73	-1980.94	-27.7856	0.7785701	0.0002937656	0.6432342	0.1738263	0.135336	0.0180139	0.417569	0.0468364	0.0580616	0.454814	0.0047059	44.02444	0.17731	0.334178	0.329676	0.158836	44.02444	0.8261737
320	-2009.93	-1981.25	-28.6747	0.6735549	0.0001953607	0.5281238	0.2159157	0.1454311	0.0876071	0.297202	0.110431	0.0650002	0.433815	0.00594492	49.81774	0.210418	0.297646	0.31685	0.175086	49.81774	0.7840843
330	-2011.11	-1984.31	-26.797	0.3326449	0.0002039893	0.1706398	0.4870212	0.1620051	0.124249	0.334134	0.0557405	0.034735	0.446061	0.00508001	49.25318	0.175475	0.328162	0.30863	0.187733	49.25318	0.5129788
340	-2012.84	-1981.88	-30.9558	0.03090121	0.000133119	0.009052927	0.7070365	0.02184829	0.130991	0.33362	0.0678202	0.0396211	0.415975	0.011973	47.68932	0.184052	0.33229	0.309094	0.174563	47.68932	0.2929635
350	-2010.84	-1983	-27.8405	0.5153902	0.0002186236	0.4376155	0.1509045	0.07777471	0.0720225	0.300735	0.158006	0.102178	0.32601	0.0410488	47.59556	0.186862	0.338067	0.307521	0.16755	47.59556	0.8490955
360	-2018.77	-1986.78	-31.9969	0.1843736	0.0001670397	0.03877608	0.7896875	0.1455975	0.0428325	0.381173	0.148189	0.0590053	0.330046	0.0387536	55.67715	0.19543	0.326568	0.293067	0.184935	55.67715	0.2103125
370	-2012.66	-1980.21	-32.4497	0.03838519	0.0001384455	0.00824837	0.7851158	0.03013682	0.0373977	0.332808	0.233097	0.0738711	0.288168	0.0346572	50.18446	0.181027	0.331446	0.31337	0.174157	50.18446	0.2148842
380	-2007.88	-1978.27	-29.6119	0.2706478	0.0002559454	0.04783118	0.8232715	0.2228166	0.0177677	0.305145	0.179612	0.0648447	0.418004	0.0146264	44.0734	0.178056	0.345375	0.305398	0.171172	44.0734	0.1767285
390	-2012.82	-1982.3	-30.5195	0.3188082	0.000137996	0.2771456	0.1306823	0.04166258	0.00614396	0.283497	0.128021	0.0607254	0.483427	0.0381853	50.21565	0.206735	0.315153	0.323091	0.15502	50.21565	0.8693177
