Iteration	Replicate_ID	Posterior	Likelihood	Prior	clock_time	TL	tmrca_Holocephalans_A	tmrca_Holocephalans_B
0	0	-1968.58	-1802.61	-165.964	1.044116	887.0235	0.1468431	0.13551
1	1	-2740.6	-2570.9	-169.7	2.160374	888.0866	443	0
2	0	-1966.68	-1800.72	-165.964	1.044116	886.9847	0.1332371	0.13551
3	1	-2746.46	-2576.76	-169.7	2.160374	888.115	443	0
4	0	-1969.16	-1803.2	-165.964	1.044116	887.0245	0.1368917	0.13551
5	1	-2748.22	-2578.52	-169.7	2.160374	888.2176	443	0
6	0	-1967.03	-1801.06	-165.964	1.044116	887.0825	0.1470995	0.13551
7	1	-2743.05	-2573.35	-169.7	2.160374	888.1049	443	0
8	0	-1967.77	-1801.81	-165.964	1.044116	886.9641	0.1348311	0.13551
9	1	-2737.77	-2568.07	-169.7	2.160374	888.0396	443	0
10	0	-1964.86	-1798.9	-165.964	1.044116	887.0196	0.1364838	0.13551
11	1	-2739.61	-2569.91	-169.7	2.160374	888.0853	443	0
12	0	-1970.89	-1804.92	-165.964	1.044116	887.0767	0.1347062	0.13551
13	1	-2739.24	-2569.54	-169.7	2.160374	888.1339	443	0
14	0	-1971.29	-1805.33	-165.964	1.044116	887.0761	0.1344138	0.13551
15	1	-2736.1	-2566.4	-169.7	2.160374	888.1562	443	0
16	0	-1966.83	-1800.87	-165.964	1.044116	887.073	0.139607	0.13551
17	1	-2740.22	-2570.52	-169.7	2.160374	888.0817	443	0
18	0	-1970.99	-1805.03	-165.964	1.044116	887.0949	0.1373412	0.13551
19	1	-2738.88	-2569.18	-169.7	2.160374	888.0575	443	0
20	0	-1974.04	-1808.08	-165.964	1.044116	887.1524	0.1378185	0.13551
21	1	-2739.59	-2569.89	-169.7	2.160374	888.0552	443	0
22	0	-1967.56	-1801.59	-165.964	1.044116	887.0579	0.1447342	0.13551
23	1	-2742.21	-2572.51	-169.7	2.160374	888.0286	443	0
24	0	-1968.3	-1802.34	-165.964	1.044116	887.1205	0.1423962	0.13551
25	1	-2744.72	-2575.02	-169.7	2.160374	887.9826	443	0
26	0	-1965.19	-1799.22	-165.964	1.044116	887.0648	0.1436368	0.13551
27	1	-2715.14	-2545.44	-169.7	2.160374	887.9852	443	0
28	0	-1966.08	-1800.11	-165.964	1.044116	887.1492	0.1349212	0.13551
29	1	-2719.5	-2549.8	-169.7	2.160374	888.0016	443	0
30	0	-1967.4	-1801.44	-165.964	1.044116	887.103	0.1534297	0.13551
31	1	-2717.86	-2548.16	-169.7	2.160374	888.0583	443	0
32	0	-1974.56	-1808.6	-165.964	1.044116	887.0544	0.1400823	0.13551
33	1	-2718.93	-2549.23	-169.7	2.160374	888.067	443	0
34	0	-1973.45	-1807.48	-165.964	1.044116	887.1547	0.1433844	0.13551
35	1	-2718.76	-2549.06	-169.7	2.160374	888.0772	443	0
36	0	-1971.75	-1805.78	-165.964	1.044116	887.106	0.1470451	0.13551
37	1	-2715.51	-2545.81	-169.7	2.160374	888.103	443	0
38	0	-1968.01	-1802.05	-165.964	1.044116	887.1918	0.143657	0.13551
39	1	-2716.81	-2547.11	-169.7	2.160374	887.9901	443	0
40	0	-1967.73	-1801.77	-165.964	1.044116	887.0121	0.1399845	0.13551
41	1	-2716.1	-2546.4	-169.7	2.160374	887.9713	443	0
42	0	-1972.57	-1806.61	-165.964	1.044116	887.073	0.1333665	0.13551
43	1	-2715.86	-2546.16	-169.7	2.160374	888.024	443	0
44	0	-1974.3	-1808.34	-165.964	1.044116	887.1224	0.1569229	0.13551
45	1	-2725.85	-2556.15	-169.7	2.160374	888.0031	443	0
46	0	-1967.34	-1801.38	-165.964	1.044116	887.0779	0.1392466	0.13551
47	1	-2714.62	-2544.92	-169.7	2.160374	888.014	443	0
48	0	-1967.98	-1802.02	-165.964	1.044116	887.1362	0.1427913	0.13551
49	1	-2719.49	-2549.79	-169.7	2.160374	887.8924	443	0
50	0	-1968.06	-1802.1	-165.964	1.044116	887.1218	0.1436188	0.13551
51	1	-2714.27	-2544.57	-169.7	2.160374	888.0563	443	0
52	0	-1973.88	-1807.91	-165.964	1.044116	887.0127	0.1355581	0.13551
53	1	-2715.67	-2545.97	-169.7	2.160374	888.029	443	0
54	0	-1973.02	-1807.06	-165.964	1.044116	886.9837	0.1455846	0.13551
55	1	-2716.24	-2546.54	-169.7	2.160374	888.0987	443	0
56	0	-1965.57	-1799.61	-165.964	1.044116	887.022	0.1459005	0.13551
57	1	-2725.68	-2555.98	-169.7	2.160374	887.9893	443	0
58	0	-1967.29	-1801.33	-165.964	1.044116	887.1652	0.1469175	0.13551
59	1	-2722.87	-2553.17	-169.7	2.160374	888.192	443	0
60	0	-1969.14	-1803.17	-165.964	1.044116	887.0346	0.1367895	0.13551
61	1	-2723.83	-2554.13	-169.7	2.160374	888.1341	443	0
62	0	-1969.77	-1803.81	-165.964	1.044116	887.0319	0.146515	0.13551
