Iteration	Posterior	Likelihood	Prior	clock_time	TL	tmrca_Holocephalans_A	tmrca_Holocephalans_B
0	-2740.6	-2570.9	-169.7	2.160374	888.0866	443	0
10	-2746.46	-2576.76	-169.7	2.160374	888.115	443	0
20	-2748.22	-2578.52	-169.7	2.160374	888.2176	443	0
30	-2743.05	-2573.35	-169.7	2.160374	888.1049	443	0
40	-2737.77	-2568.07	-169.7	2.160374	888.0396	443	0
50	-2739.61	-2569.91	-169.7	2.160374	888.0853	443	0
60	-2739.24	-2569.54	-169.7	2.160374	888.1339	443	0
70	-2736.1	-2566.4	-169.7	2.160374	888.1562	443	0
80	-2740.22	-2570.52	-169.7	2.160374	888.0817	443	0
90	-2738.88	-2569.18	-169.7	2.160374	888.0575	443	0
100	-2739.59	-2569.89	-169.7	2.160374	888.0552	443	0
110	-2742.21	-2572.51	-169.7	2.160374	888.0286	443	0
120	-2744.72	-2575.02	-169.7	2.160374	887.9826	443	0
130	-2715.14	-2545.44	-169.7	2.160374	887.9852	443	0
140	-2719.5	-2549.8	-169.7	2.160374	888.0016	443	0
150	-2717.86	-2548.16	-169.7	2.160374	888.0583	443	0
160	-2718.93	-2549.23	-169.7	2.160374	888.067	443	0
170	-2718.76	-2549.06	-169.7	2.160374	888.0772	443	0
180	-2715.51	-2545.81	-169.7	2.160374	888.103	443	0
190	-2716.81	-2547.11	-169.7	2.160374	887.9901	443	0
200	-2716.1	-2546.4	-169.7	2.160374	887.9713	443	0
210	-2715.86	-2546.16	-169.7	2.160374	888.024	443	0
220	-2725.85	-2556.15	-169.7	2.160374	888.0031	443	0
230	-2714.62	-2544.92	-169.7	2.160374	888.014	443	0
240	-2719.49	-2549.79	-169.7	2.160374	887.8924	443	0
250	-2714.27	-2544.57	-169.7	2.160374	888.0563	443	0
260	-2715.67	-2545.97	-169.7	2.160374	888.029	443	0
270	-2716.24	-2546.54	-169.7	2.160374	888.0987	443	0
280	-2725.68	-2555.98	-169.7	2.160374	887.9893	443	0
290	-2722.87	-2553.17	-169.7	2.160374	888.192	443	0
300	-2723.83	-2554.13	-169.7	2.160374	888.1341	443	0
310	-2720.03	-2550.33	-169.7	2.160374	888.1394	443	0
320	-2721.14	-2551.44	-169.7	2.160374	888.1168	443	0
330	-2720.38	-2550.68	-169.7	2.160374	887.9737	443	0
340	-2722.54	-2552.84	-169.7	2.160374	888.0987	443	0
350	-2720.41	-2550.71	-169.7	2.160374	888.0478	443	0
360	-2718.45	-2548.75	-169.7	2.160374	888.0307	443	0
370	-2724.63	-2554.93	-169.7	2.160374	888.1569	443	0
380	-2724.06	-2554.36	-169.7	2.160374	888.1938	443	0
390	-2724.93	-2555.23	-169.7	2.160374	888.2542	443	0
400	-2730.3	-2560.6	-169.7	2.160374	888.0931	443	0
410	-2690.22	-2520.52	-169.7	2.160374	888.0986	443	0
420	-2692.11	-2522.41	-169.7	2.160374	888.1546	443	0
430	-2695.39	-2525.69	-169.7	2.160374	888.1135	443	0
440	-2688.95	-2519.25	-169.7	2.160374	888.1291	443	0
450	-2696.14	-2526.44	-169.7	2.160374	888.1373	443	0
460	-2687.96	-2518.26	-169.7	2.160374	888.097	443	0
470	-2690.22	-2520.52	-169.7	2.160374	888.0712	443	0
480	-2693.26	-2523.56	-169.7	2.160374	887.9531	443	0
490	-2693.34	-2523.64	-169.7	2.160374	887.9748	443	0
500	-2694.89	-2525.19	-169.7	2.160374	887.9483	443	0
510	-2691.02	-2521.32	-169.7	2.160374	887.9955	443	0
520	-2694.28	-2524.58	-169.7	2.160374	887.956	443	0
530	-2693.26	-2523.56	-169.7	2.160374	887.9722	443	0
540	-2691.24	-2521.54	-169.7	2.160374	887.9955	443	0
550	-2699.58	-2529.88	-169.7	2.160374	887.9669	443	0
560	-2696.87	-2527.17	-169.7	2.160374	888.151	443	0
570	-2692.71	-2523.01	-169.7	2.160374	888.0707	443	0
580	-2690.1	-2520.4	-169.7	2.160374	888.037	443	0
590	-2692.84	-2523.14	-169.7	2.160374	887.8876	443	0
600	-2695.01	-2525.31	-169.7	2.160374	888.0527	443	0
610	-2688.81	-2519.11	-169.7	2.160374	887.9289	443	0
620	-2686.71	-2517.01	-169.7	2.160374	888.0174	443	0
630	-2687.6	-2517.9	-169.7	2.160374	887.9998	443	0
640	-2690.59	-2520.89	-169.7	2.160374	887.9694	443	0
650	-2694.26	-2524.56	-169.7	2.160374	887.9878	443	0
660	-2694.5	-2524.8	-169.7	2.160374	887.9746	443	0
670	-2698.31	-2528.61	-169.7	2.160374	887.9249	443	0
680	-2695.67	-2525.97	-169.7	2.160374	887.954	443	0
690	-2696.49	-2526.79	-169.7	2.160374	887.9665	443	0
700	-2691.4	-2521.7	-169.7	2.160374	887.9866	443	0
710	-2689.35	-2519.65	-169.7	2.160374	887.9528	443	0
720	-2690.55	-2520.85	-169.7	2.160374	887.9909	443	0
730	-2687.84	-2518.14	-169.7	2.160374	887.9667	443	0
740	-2689.92	-2520.22	-169.7	2.160374	887.9245	443	0
750	-2686.64	-2516.94	-169.7	2.160374	887.9967	443	0
760	-2689.21	-2519.51	-169.7	2.160374	887.9725	443	0
770	-2693.95	-2524.25	-169.7	2.160374	888.0163	443	0
780	-2690.2	-2520.5	-169.7	2.160374	888.0353	443	0
790	-2692.39	-2522.69	-169.7	2.160374	888.0338	443	0
800	-2690.61	-2520.91	-169.7	2.160374	888.0816	443	0
810	-2686.62	-2516.92	-169.7	2.160374	888.0136	443	0
820	-2693.86	-2524.16	-169.7	2.160374	887.9919	443	0
830	-2691.96	-2522.26	-169.7	2.160374	887.9065	443	0
840	-2688.18	-2518.48	-169.7	2.160374	888.0018	443	0
850	-2692.56	-2522.86	-169.7	2.160374	887.8949	443	0
860	-2692.39	-2522.69	-169.7	2.160374	888.0347	443	0
870	-2694.67	-2524.97	-169.7	2.160374	888.0015	443	0
880	-2688.57	-2518.87	-169.7	2.160374	888.074	443	0
890	-2690.62	-2520.92	-169.7	2.160374	887.988	443	0
900	-2687.52	-2517.82	-169.7	2.160374	888.0565	443	0
910	-2688.74	-2519.04	-169.7	2.160374	887.9644	443	0
920	-2690.35	-2520.65	-169.7	2.160374	888.014	443	0
930	-2689.86	-2520.16	-169.7	2.160374	888.0102	443	0
940	-2689.37	-2519.67	-169.7	2.160374	887.9944	443	0
950	-2690.81	-2521.11	-169.7	2.160374	888.0283	443	0
960	-2689.01	-2519.31	-169.7	2.160374	887.9605	443	0
970	-2690.97	-2521.27	-169.7	2.160374	887.9706	443	0
980	-2686.31	-2516.61	-169.7	2.160374	887.871	443	0
